,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
18,96,BBC1 London,20-jun-2016,Joins BBC News,01:55,245 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CB173BD?bcast=121936973,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CB173BD-Joins-BBC-News-2016-06-20T005500Z-BBC1-London.mp4/index.m3u8
19,100,BBC1 London,13-jun-2016,Joins BBC News,01:40,260 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CA440AB?bcast=121849705,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CA440AB-Joins-BBC-News-2016-06-13T004000Z-BBC1-London.mp4/index.m3u8
20,103,BBC1 London,13-jun-2016,BBC News at Ten,22:05,35 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CB171BF?bcast=121929180,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CB171BF-BBC-News-at-Ten-2016-06-13T210500Z-BBC1-London.mp4/index.m3u8
21,104,BBC1 London,8-jun-2016,Joins BBC News,00:50,310 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CA43F5E?bcast=121817800,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CA43F5E-Joins-BBC-News-2016-06-08T235000Z-BBC1-London.mp4/index.m3u8
22,108,BBC1 London,22-jun-2016,Joins BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CC18DD2?bcast=121982921,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CC18DD2-Joins-BBC-News-2016-06-22T000000Z-BBC1-London.mp4/index.m3u8
23,111,BBC1 London,22-jun-2016,BBC News at Ten,22:00,40 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CC18E8A?bcast=122011494,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CC18E8A-BBC-News-at-Ten-2016-06-22T210000Z-BBC1-London.mp4/index.m3u8
24,112,BBC1 London,10-jun-2016,Joins BBC News,00:35,325 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CA43FEC?bcast=121830578,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CA43FEC-Joins-BBC-News-2016-06-10T233500Z-BBC1-London.mp4/index.m3u8
25,116,BBC1 London,28-jun-2016,Joins BBC News,00:30,330 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CCCAADE?bcast=122044693,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CCCAADE-Joins-BBC-News-2016-06-28T233000Z-BBC1-London.mp4/index.m3u8
26,118,BBC1 London,28-jun-2016,BBC News at Six,18:00,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CCCAB72?bcast=121955207,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CCCAB72-BBC-News-at-Six-2016-06-28T170000Z-BBC1-London.mp4/index.m3u8
27,119,BBC1 London,28-jun-2016,BBC News at Ten,22:00,35 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0CCCAB69?bcast=122051828,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0CCCAB69-BBC-News-at-Ten-2016-06-28T210000Z-BBC1-London.mp4/index.m3u8
