,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,10-nov-2015,BBC News,00:15,345 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B6026E8?bcast=116892918,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B6026E8-BBC-News-2015-11-10T231500Z-BBC1-London.mp4/index.m3u8
1,53,BBC1 London,16-nov-2015,BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B6028BD?bcast=120542821,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B6028BD-BBC-News-2015-11-16T000000Z-BBC1-London.mp4/index.m3u8
2,72,BBC1 London,18-nov-2015,BBC News,01:55,245 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B66B526?bcast=120544420,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B66B526-BBC-News-2015-11-18T005500Z-BBC1-London.mp4/index.m3u8
3,85,BBC1 London,13-nov-2015,BBC London News,22:25,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B613869?bcast=116843884,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B613869-BBC-London-News-2015-11-13T212500Z-BBC1-London.mp4/index.m3u8
4,145,BBC1 London,1-nov-2015,BBC News,00:55,305 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B338652?bcast=116765155,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B338652-BBC-News-2015-11-01T235500Z-BBC1-London.mp4/index.m3u8
5,151,BBC1 London,30-nov-2015,BBC News,01:10,290 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0B7171DA?bcast=120588560,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0B7171DA-BBC-News-2015-11-30T001000Z-BBC1-London.mp4/index.m3u8
