,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,6-jun-2015,BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15B5F4?bcast=115780664,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15B5F4-BBC-News-2015-06-06T000000Z-BBC1-London.mp4/index.m3u8
1,3,BBC1 London,6-jun-2015,BBC London News,19:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D5D5?bcast=115783768,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D5D5-BBC-London-News-2015-06-06T182500Z-BBC1-London.mp4/index.m3u8
2,5,BBC1 London,5-jun-2015,BBC News,00:35,325 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15B5AE?bcast=115774646,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15B5AE-BBC-News-2015-06-05T233500Z-BBC1-London.mp4/index.m3u8
3,6,BBC1 London,5-jun-2015,BBC News at One,13:00,40 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15B61A?bcast=115777095,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15B61A-BBC-News-at-One-2015-06-05T120000Z-BBC1-London.mp4/index.m3u8
4,7,BBC1 London,5-jun-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D5CA?bcast=115777250,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D5CA-BBC-London-News-2015-06-05T124000Z-BBC1-London.mp4/index.m3u8
5,9,BBC1 London,5-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D5C7?bcast=115777887,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D5C7-BBC-London-News-2015-06-05T173000Z-BBC1-London.mp4/index.m3u8
6,11,BBC1 London,5-jun-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D5C4?bcast=115778409,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D5C4-BBC-London-News-2015-06-05T212500Z-BBC1-London.mp4/index.m3u8
7,12,BBC1 London,2-jun-2015,BBC News,00:20,340 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A01B43C?bcast=115754398,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A01B43C-BBC-News-2015-06-02T232000Z-BBC1-London.mp4/index.m3u8
8,14,BBC1 London,2-jun-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D589?bcast=115757106,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D589-BBC-London-News-2015-06-02T124000Z-BBC1-London.mp4/index.m3u8
9,16,BBC1 London,2-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D55E?bcast=115757714,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D55E-BBC-London-News-2015-06-02T173000Z-BBC1-London.mp4/index.m3u8
10,18,BBC1 London,2-jun-2015,BBC London News,22:25,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D545?bcast=115758227,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D545-BBC-London-News-2015-06-02T212500Z-BBC1-London.mp4/index.m3u8
11,19,BBC1 London,3-jun-2015,BBC News,01:25,275 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15B51F?bcast=115761612,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15B51F-BBC-News-2015-06-03T002500Z-BBC1-London.mp4/index.m3u8
12,21,BBC1 London,3-jun-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D5A0?bcast=115764083,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D5A0-BBC-London-News-2015-06-03T124000Z-BBC1-London.mp4/index.m3u8
13,23,BBC1 London,3-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D59D?bcast=115764697,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D59D-BBC-London-News-2015-06-03T173000Z-BBC1-London.mp4/index.m3u8
14,25,BBC1 London,3-jun-2015,BBC London News,22:25,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15D59A?bcast=115765208,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15D59A-BBC-London-News-2015-06-03T212500Z-BBC1-London.mp4/index.m3u8
15,26,BBC1 London,8-jun-2015,BBC News,00:50,310 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A15B6C9?bcast=115793950,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A15B6C9-BBC-News-2015-06-08T235000Z-BBC1-London.mp4/index.m3u8
16,28,BBC1 London,8-jun-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C961A?bcast=115796404,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C961A-BBC-London-News-2015-06-08T123000Z-BBC1-London.mp4/index.m3u8
17,30,BBC1 London,8-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9617?bcast=115797059,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9617-BBC-London-News-2015-06-08T173000Z-BBC1-London.mp4/index.m3u8
18,33,BBC1 London,9-jun-2015,BBC News,00:10,350 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1CE976?bcast=115798895,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1CE976-BBC-News-2015-06-09T231000Z-BBC1-London.mp4/index.m3u8
19,35,BBC1 London,9-jun-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C962F?bcast=115801509,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C962F-BBC-London-News-2015-06-09T123000Z-BBC1-London.mp4/index.m3u8
20,37,BBC1 London,9-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C962B?bcast=115802156,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C962B-BBC-London-News-2015-06-09T173000Z-BBC1-London.mp4/index.m3u8
21,39,BBC1 London,9-jun-2015,BBC London News,22:30,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9628?bcast=115881413,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9628-BBC-London-News-2015-06-09T213000Z-BBC1-London.mp4/index.m3u8
22,40,BBC1 London,13-jun-2015,BBC News,01:20,280 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1CEA82?bcast=115823810,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1CEA82-BBC-News-2015-06-13T002000Z-BBC1-London.mp4/index.m3u8
23,43,BBC1 London,13-jun-2015,BBC London News,18:50,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9678?bcast=115826659,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9678-BBC-London-News-2015-06-13T175000Z-BBC1-London.mp4/index.m3u8
24,45,BBC1 London,10-jun-2015,BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1CE9B6?bcast=115807435,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1CE9B6-BBC-News-2015-06-10T000000Z-BBC1-London.mp4/index.m3u8
25,47,BBC1 London,10-jun-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9643?bcast=115809982,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9643-BBC-London-News-2015-06-10T123000Z-BBC1-London.mp4/index.m3u8
26,49,BBC1 London,10-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9640?bcast=115810628,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9640-BBC-London-News-2015-06-10T173000Z-BBC1-London.mp4/index.m3u8
27,51,BBC1 London,10-jun-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C963D?bcast=115811145,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C963D-BBC-London-News-2015-06-10T212500Z-BBC1-London.mp4/index.m3u8
28,52,BBC1 London,11-jun-2015,BBC News,00:10,350 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1CE9F5?bcast=115812454,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1CE9F5-BBC-News-2015-06-11T231000Z-BBC1-London.mp4/index.m3u8
29,54,BBC1 London,11-jun-2015,BBC London News,13:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9657?bcast=115815130,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9657-BBC-London-News-2015-06-11T123000Z-BBC1-London.mp4/index.m3u8
30,56,BBC1 London,11-jun-2015,BBC London News,18:30,30 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9654?bcast=115815783,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9654-BBC-London-News-2015-06-11T173000Z-BBC1-London.mp4/index.m3u8
31,58,BBC1 London,11-jun-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0A1C9651?bcast=115816296,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0A1C9651-BBC-London-News-2015-06-11T212500Z-BBC1-London.mp4/index.m3u8
