,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,5-mar-2015,BBC News,01:50,250 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6E12C?bcast=115188881,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6E12C-BBC-News-2015-03-05T005000Z-BBC1-London.mp4/index.m3u8
1,1,BBC1 London,5-mar-2015,BBC News at One,13:00,40 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6E198?bcast=115191163,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6E198-BBC-News-at-One-2015-03-05T120000Z-BBC1-London.mp4/index.m3u8
2,2,BBC1 London,5-mar-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6CC5D?bcast=115191302,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6CC5D-BBC-London-News-2015-03-05T124000Z-BBC1-London.mp4/index.m3u8
3,6,BBC1 London,5-mar-2015,BBC London News,22:25,20 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6CC57?bcast=115192470,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6CC57-BBC-London-News-2015-03-05T212500Z-BBC1-London.mp4/index.m3u8
4,7,BBC1 London,6-mar-2015,Joins BBC News,00:35,325 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6E17D?bcast=115193943,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6E17D-Joins-BBC-News-2015-03-06T233500Z-BBC1-London.mp4/index.m3u8
5,9,BBC1 London,6-mar-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6CC71?bcast=115196489,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6CC71-BBC-London-News-2015-03-06T124000Z-BBC1-London.mp4/index.m3u8
6,13,BBC1 London,6-mar-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6CC6B?bcast=115197672,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6CC6B-BBC-London-News-2015-03-06T212500Z-BBC1-London.mp4/index.m3u8
7,14,BBC1 London,4-mar-2015,Joins BBC News,01:20,280 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6E0E6?bcast=115181889,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6E0E6-Joins-BBC-News-2015-03-04T002000Z-BBC1-London.mp4/index.m3u8
8,16,BBC1 London,4-mar-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6CC49?bcast=115184390,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6CC49-BBC-London-News-2015-03-04T124000Z-BBC1-London.mp4/index.m3u8
9,21,BBC1 London,9-mar-2015,Joins BBC News,01:15,285 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/08B6E24F?bcast=115214811,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/08B6E24F-Joins-BBC-News-2015-03-09T001500Z-BBC1-London.mp4/index.m3u8
