,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,13,BBC1 London,7-sep-2015,BBC News,00:05,355 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0AAE9527?bcast=116399881,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0AAE9527-BBC-News-2015-09-07T230500Z-BBC1-London.mp4/index.m3u8
1,117,BBC1 London,25-sep-2015,BBC News,00:25,335 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0AD3D0B6?bcast=116520554,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0AD3D0B6-BBC-News-2015-09-25T232500Z-BBC1-London.mp4/index.m3u8
2,190,BBC1 London,13-sep-2015,BBC News,00:20,340 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0ABB98BC?bcast=116439405,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0ABB98BC-BBC-News-2015-09-13T232000Z-BBC1-London.mp4/index.m3u8
