,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,0,BBC1 London,6-apr-2015,BBC News,01:05,295 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09A062BB?bcast=115393611,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09A062BB-BBC-News-2015-04-06T000500Z-BBC1-London.mp4/index.m3u8
1,2,BBC1 London,6-apr-2015,BBC London News,13:20,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A717?bcast=115419841,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A717-BBC-London-News-2015-04-06T122000Z-BBC1-London.mp4/index.m3u8
2,6,BBC1 London,6-apr-2015,BBC London News,22:20,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A711?bcast=115397093,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A711-BBC-London-News-2015-04-06T212000Z-BBC1-London.mp4/index.m3u8
3,7,BBC1 London,8-apr-2015,BBC News,01:10,290 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2AE4A?bcast=115407790,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2AE4A-BBC-News-2015-04-08T001000Z-BBC1-London.mp4/index.m3u8
4,9,BBC1 London,8-apr-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A73F?bcast=115410261,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A73F-BBC-London-News-2015-04-08T124000Z-BBC1-London.mp4/index.m3u8
5,13,BBC1 London,8-apr-2015,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A739?bcast=115420300,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A739-BBC-London-News-2015-04-08T213000Z-BBC1-London.mp4/index.m3u8
6,14,BBC1 London,7-apr-2015,Joins BBC News,02:35,205 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B19793?bcast=115398865,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B19793-Joins-BBC-News-2015-04-07T013500Z-BBC1-London.mp4/index.m3u8
7,16,BBC1 London,7-apr-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A72B?bcast=115401008,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A72B-BBC-London-News-2015-04-07T124000Z-BBC1-London.mp4/index.m3u8
8,20,BBC1 London,7-apr-2015,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A725?bcast=115420087,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A725-BBC-London-News-2015-04-07T213000Z-BBC1-London.mp4/index.m3u8
9,21,BBC1 London,2-apr-2015,BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09A061B5?bcast=115367498,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09A061B5-BBC-News-2015-04-02T000000Z-BBC1-London.mp4/index.m3u8
10,23,BBC1 London,2-apr-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09A2AFCF?bcast=115370046,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09A2AFCF-BBC-London-News-2015-04-02T124000Z-BBC1-London.mp4/index.m3u8
11,27,BBC1 London,2-apr-2015,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09A2AFC9?bcast=115419073,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09A2AFC9-BBC-London-News-2015-04-02T213000Z-BBC1-London.mp4/index.m3u8
12,28,BBC1 London,9-apr-2015,Joins BBC News,01:10,290 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2AE8F?bcast=115412970,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2AE8F-Joins-BBC-News-2015-04-09T001000Z-BBC1-London.mp4/index.m3u8
13,30,BBC1 London,9-apr-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A753?bcast=115415426,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A753-BBC-London-News-2015-04-09T124000Z-BBC1-London.mp4/index.m3u8
14,34,BBC1 London,9-apr-2015,BBC London News,22:30,15 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A74D?bcast=115420532,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A74D-BBC-London-News-2015-04-09T213000Z-BBC1-London.mp4/index.m3u8
15,35,BBC1 London,10-apr-2015,Joins BBC News,00:35,325 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2AED8?bcast=115420867,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2AED8-Joins-BBC-News-2015-04-10T233500Z-BBC1-London.mp4/index.m3u8
16,37,BBC1 London,10-apr-2015,BBC London News,13:40,5 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A767?bcast=115423494,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A767-BBC-London-News-2015-04-10T124000Z-BBC1-London.mp4/index.m3u8
17,41,BBC1 London,10-apr-2015,BBC London News,22:25,10 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2A761?bcast=115424673,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2A761-BBC-London-News-2015-04-10T212500Z-BBC1-London.mp4/index.m3u8
18,42,BBC1 London,13-apr-2015,Joins BBC News,01:40,260 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/09B2AF9F?bcast=115435771,Program has to be requested.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/09B2AF9F-Joins-BBC-News-2015-04-13T004000Z-BBC1-London.mp4/index.m3u8
