datadate,year,tic,conm,cik,conml,matched
31dec2003,2003,4165A,ACF INDUSTRIES INC,910627.0,ACF Industries Inc,0
30sep2010,2010,ADCT.1,ADC TELECOMMUNICATIONS INC,61478.0,ADC Telecommunications Inc.,0
31dec2001,2001,AFAP,AFA PROTECTIVE SYSTEMS INC,2668.0,AFA Protective Systems Inc,0
30jun2008,2008,IWKS,AFP IMAGING CORP,319126.0,AFP Imaging Corp,0
31dec2007,2007,ALO.2,ALPHARMA INC  -CL A,730469.0,Alpharma Inc.,1
31mar2002,2001,AMCM.,AM COMMUNICATIONS INC,318580.0,AM Communication Inc.,0
31mar2004,2003,AEN.2,AMC ENTERTAINMENT INC -OLD,,AMC Entertainment Inc -Old,0
31dec2006,2006,4267A,ANR PIPELINE CO,65695.0,ANR Pipeline Co,1
30jun2006,2006,ARXX,AEROFLEX INC,2601.0,Aeroflex Inc,0
30apr2011,2010,SERV.1,SERVIDYNE INC,1923.0,Servidyne Inc,0
31dec2009,2009,WDDD,WORLDS INC,1961.0,Worlds Inc,0
31dec2001,2001,AK,ACKERLEY GROUP INC,319120.0,Ackerley Group Inc,0
31dec2014,2014,ACMTA,ACMAT CORP  -CL A,2062.0,ACMAT Corp,0
31dec2002,2002,2675B,ACE HARDWARE CORP,2024.0,Ace Hardware Corp,1
31dec2008,2008,AHIXD,ALUF HOLDINGS INC,747435.0,Aluf Holdings Inc,0
31mar2008,2007,ATVI.1,ACTIVISION INC,,Activision Inc.,0
31dec2002,2002,AERS.,AERO SYSTEMS ENGINEERING INC,2589.0,Aero Systems Engineering Inc,0
31dec2004,2004,MCIP,MCI INC,723527.0,MCI Inc,0
30sep2005,2005,BFTC,B-FAST CORP,350200.0,B-Fast Corp,0
31jan2013,2012,AIM.1,AEROSONIC CORP,109471.0,Aerosonic Corp,0
31jan2008,2007,IDAI.,IDNA INC,1004981.0,iDNA Inc,0
30jun2002,2002,1900B,AGWAY INC,2852.0,Agway Inc,1
31dec2002,2002,ABF,AIRBORNE INC,3000.0,Airborne Inc.,0
30sep2010,2010,ACV.1,ALBERTO-CULVER CO,1368457.0,Alberto-Culver Co,1
31jan2006,2005,ABS.1,ALBERTSON'S INC,3333.0,Albertson's Inc.,1
31dec2006,2006,AL.1,ALCAN INC,4285.0,Alcan Inc.,1
31may2003,2002,ALCD.,ALCIDE CORP,708484.0,Alcide Corp,0
30sep2008,2008,IKN,IKON OFFICE SOLUTIONS,3370.0,IKON Office Solutions Inc.,1
31dec2005,2005,CGYNQ,CAPCO ENERGY INC,354767.0,Capco Energy Inc,0
31jul2012,2012,ACEL.,TAMIR BIOTHECHNOLOGY INC,708717.0,Tamir Biotechnology Inc,0
31dec2010,2010,AYE,ALLEGHENY ENERGY INC,3673.0,Allegheny Energy Inc.,1
31dec2002,2002,ALN.2,ALLEN TELECOM INC,3721.0,Allen Telecom Inc.,0
31dec2004,2004,AORGB,ALLEN ORGAN CO  -CL B,3753.0,Allen Organ Company,0
31dec2010,2010,ALY,ALLIS-CHALMERS ENERGY INC,3982.0,Allis-Chalmers Energy Inc,0
31dec2006,2006,AT.2,ALLTEL CORP,65873.0,ALLTEL Corp,1
31mar2002,2001,SCHR.1,SCHERER HEALTHCARE INC,703598.0,Scherer Healthcare Inc,0
31dec2012,2012,APNI,ALPINE GROUP INC,4164.0,Alpine Group Inc,1
31dec2002,2002,AT2,ALLTEL PENNSYLVANIA INC,65899.0,Alltel Pennsylvania Inc,0
31dec2015,2015,AA.3,ALCOA INC,,Alcoa Inc,0
31mar2006,2005,SNTO,SENTO CORP,4317.0,Sento Corp,0
31jul2004,2004,BSWY,BESTWAY INC,4344.0,Bestway Inc,1
30jun2001,2001,3AMBEQ,AMBER RESOURCES CO OF COLO,276750.0,Amber Resources Company of Colorado,0
31aug2003,2003,AICOQ,AMCAST INDUSTRIAL CORP,27425.0,Amcast Industrial Corp,0
31dec2012,2012,LCC,US AIRWAYS GROUP INC,701345.0,US Airways Group Inc,1
31dec2013,2013,BEAM.2,BEAM INC,789073.0,Beam Inc,1
31dec2002,2002,TFHIZ,TRANSFINANCIAL HOLDINGS INC,719271.0,Transfinancial Holdings Inc,0
31aug2013,2013,2388B,AMERICAN CRYSTAL SUGAR CO,4828.0,American Crystal Sugar Co,0
31dec2006,2006,CMQ,MANSFELDER METALS LTD,352281.0,Mansfelder Metals Ltd,0
31dec2005,2005,AVCS,AMERICAN VANTAGE COMPANIES,315428.0,American Vantage Companies,0
31dec2004,2004,2551A,AMERICAN FAMILY FINL SVCS,,American Family Financial Services Inc,0
28feb2013,2012,AM.1,AMERICAN GREETINGS  -CL A,5133.0,American Greetings Corp.,0
31dec2008,2008,WYE,WYETH,5187.0,Wyeth,1
31dec2015,2015,HAIPF,HADERA PAPER LTD,5337.0,Hadera Paper Ltd,0
31dec2013,2013,ALGI,AMERICAN LOCKER GROUP INC,8855.0,American Locker Group Inc,0
31dec2003,2003,AMSY,AMERICAN MANAGEMENT SYSTEMS,1318060.0,American Management Systems Inc.,0
30sep2005,2005,HIST,GALLERY OF HISTORY INC,763730.0,Gallery of History Inc,0
31dec2010,2010,AMAC,AMERICAN MEDICAL ALERT CORP,700721.0,American Medical Alert Corp,0
30sep2013,2013,APFC,AMERICAN PACIFIC CORP,350832.0,American Pacific Corp,0
31dec2009,2009,AMPH.1,AMERICAN PHYSICIANS SVC GP,724024.0,American Physicians Service Group Inc,0
31mar2016,2015,ASEI,AMERICAN SCIENCE ENGINEERING,5768.0,American Science and Engineering Inc.,0
31dec2007,2007,TT.2,TRANE INC,836102.0,Trane Inc,1
30jun2007,2007,AMK.2,AMERICAN TECHNICAL CERAMICS,766430.0,American Technical Ceramics Corp.,1
31dec2004,2004,T.2,AT&T CORP,5907.0,AT&T Corp,1
31dec2001,2001,AWK.1,AMERICAN WATER WORKS INC,318819.0,American Water Works Company Inc,0
30nov2010,2010,AMN.2,AMERON INTERNATIONAL CORP,790730.0,Ameron International Corp.,0
31jan2002,2001,AMESQ,AMES DEPT STORES INC,6071.0,Ames Dept Stores Inc,0
31dec2005,2005,AMTA,AMISTAR CORP,741559.0,Amistar Corp,0
31dec2011,2011,AMPLQ,AMPAL-AMERICAN ISRAEL CORP,731859.0,Ampal-American Israel Corp,0
31dec2005,2005,ASO.1,AMSOUTH BANCORPORATION,3133.0,AmSouth Bancorporation,1
30sep2004,2004,ANCPA,ANACOMP INC,6260.0,Anacomp Inc,0
31dec2012,2012,ANLY,ANALYSTS INTERNATIONAL CORP,6292.0,Analysts International Corp,0
30jun2013,2013,ANEN,ANAREN INC,6314.0,Anaren Inc,0
31dec2006,2006,MOCC,MOSCOW CABLECOM CORP,6383.0,Moscow CableCom Corp,0
30sep2003,2003,CRAN,CROWN ANDERSEN INC,778808.0,Crown Andersen Inc,0
30sep2007,2007,ANDW,ANDREW CORP,317093.0,Andrew Corp,0
31jan2008,2007,AGL.1,ANGELICA CORP,6571.0,Angelica Corp,0
31dec2007,2007,BUD.2,ANHEUSER-BUSCH COS INC,310569.0,Anheuser-Busch Companies Inc,0
31dec2006,2006,BIW,BIW LTD,1169237.0,BIW Ltd,0
30jun2011,2011,MXLP,MAXUM ENERGY LOGISTICS -REDH,1548592.0,Maxum Energy Logistics Partners LP,0
31dec2006,2006,KTO,K2 INC,6720.0,K2 Inc.,0
31dec2014,2014,ASOE,APOLLO SOLAR ENERGY INC,726435.0,Apollo Solar Energy Inc,0
31dec2013,2013,APAGF,APCO OIL AND GAS INTL INC,311471.0,Apco Oil and Gas International Inc,1
31dec2009,2009,SSHZ,SINO SHIPPING HOLDINGS INC,312258.0,Sino Shipping Holdings Inc,0
31dec2012,2012,ARDNA,ARDEN GROUP INC  -CL A,225051.0,Arden Group Inc,0
31dec2002,2002,WM1,WASHINGTON MUTUAL FINL CORP,7214.0,Washington Mutual Financial Corp,0
31dec2005,2005,3ACKH,ARMSTRONG HOLDINGS INC,1109304.0,Armstrong Holdings Inc,0
30jun2008,2008,ASPN.1,ASPEN EXPLORATION CORP -OLD,,Aspen Exploration Corp,0
31oct2002,2002,ASTO,ASTRO COMMUNICATIONS INC,351385.0,Astro Communications Inc,0
31mar2003,2002,NWXJ,ASTREX INC,8038.0,Astrex Inc,0
31dec2002,2002,ATCCQ,ASTROCOM CORP,215155.0,Astrocom Corp,0
31dec2003,2003,ATMR.1,ATLAS MINERALS INC,8302.0,Atlas Minerals Inc,0
31dec2011,2011,CEVL,CEVA LOGISTICS INC-REDH,1391594.0,CEVA Logistics Inc,0
31may2005,2004,AULT.,AULT INC,723639.0,Ault Inc,0
31dec2011,2011,ASAM,ASSURANCEAMERICA CORP,8497.0,AssuranceAmerica Corp,0
31dec2004,2004,AIFS,AGENT INFORMATION SOFTWR INC,8598.0,Agent Information Software Inc,0
30sep2001,2001,3ATRC,AUTO-TROL TECHNOLOGY CORP,278048.0,Auto-Trol Technology Corp,0
31dec2009,2009,DCAI,DIALYSIS CORP OF AMERICA,201653.0,Dialysis Corp of America,0
31dec2007,2007,DSIIQ,DELSITE INC,718007.0,DelSite Inc,0
31dec2005,2005,AVL.1,AVIALL INC,701650.0,Aviall Inc,0
31dec2002,2002,BMMI,BMC INDUSTRIES INC,215310.0,BMC Industries Inc,0
30sep2005,2005,BOX.1,BOC GROUP PLC,715095.0,Boc Group PLC,0
31aug2014,2014,PRSNQ,BSD MEDICAL CORP,320174.0,BSD Medical Corp,0
31dec2002,2002,MRR,MID-ATLANTIC REALTY TRUST,909298.0,Mid-Atlantic Realty Trust,0
31dec2004,2004,BPMI,BADGER PAPER MILLS INC,9096.0,Badger Paper Mills Inc,0
31dec2006,2006,BZ.2,BAIRNCO CORP,350750.0,Bairnco Corp,0
31dec2012,2012,BKR.1,BAKER (MICHAEL) CORP,9263.0,Michael Baker Corp,0
31dec2009,2009,BEZ,BALDOR ELECTRIC CO,9342.0,Baldor Electric Co,1
31dec2002,2002,BTEK.1,BALTEK CORP,9442.0,Baltek Corp,0
31dec2011,2011,CEG,CONSTELLATION ENERGY GRP INC,1004440.0,Constellation Energy Group Inc.,0
31dec2003,2003,ONE.1,BANK ONE CORP,1067092.0,Bank One Corp,1
31dec2010,2010,BTEC.1,BANCTEC INC-REDH,318378.0,BancTec Inc,0
31dec2001,2001,FBA,FIRST BANKS AMER INC,310979.0,First Banks America Inc.,0
31dec2006,2006,BDG.2,BANDAG INC,9534.0,Bandag Inc.,0
31dec2011,2011,EMA1.,BANGOR HYDRO-ELECTRIC CO,9548.0,Bangor Hydro-Electric Co,1
31dec2009,2009,BK,BANK OF NEW YORK MELLON CORP,1390777.0,Bank of New York Mellon Corp (The),0
31dec2013,2013,BRE,BRE PROPERTIES INC,1011174.0,BRE Properties Inc.,0
30sep2001,2001,VSIH,VSI HOLDINGS INC,354611.0,VSI Holdings Inc,0
30sep2007,2007,FCHDQ,FAIRCHILD CORP  -CL A,9779.0,Fairchild Corp. (The),0
31dec2005,2005,BN.2,BANTA CORP,9801.0,Banta Corp,1
31mar2003,2002,BRTR,BARRISTER GLOBAL SVCS NTWK,754128.0,Barrister Global Services Network Inc,0
30jun2013,2013,DFZ,BARRY (R G) CORP,749872.0,Barry (R G) Corp,0
31mar2014,2013,ESTE.1,EARTHSTONE ENERGY INC -OLD,,Earthstone Energy Inc-OLD,0
31dec2012,2012,6583B,BAUSCH & LOMB HLDGS  -REDH,1416436.0,Bausch & Lomb Holdings Inc,0
31dec2011,2011,BRCOQ,BEARD CO,909992.0,Beard Co,0
31dec2014,2014,PRTM,PRIME TIME HOLDINGS INC,1493893.0,Prime Time Holdings Inc,0
31aug2007,2007,NICH,NITCHES INC,772263.0,Nitches Inc,0
31dec2010,2010,4994B,BELDEN & BLAKE CORP,880114.0,Belden & Blake Corp,1
31dec2001,2001,3CRLH,CARLYLE INDUSTRIES INC,11027.0,Carlyle Industries Inc,0
31dec2010,2010,BLLI,BELL INDUSTRIES INC,945489.0,Bell Industries Inc.,0
31dec2002,2002,VZ2,VERIZON INC/PA,11107.0,Verizon Inc/PA,0
31dec2005,2005,BLS,BELLSOUTH CORP,732713.0,BellSouth Corp,1
31dec2012,2012,BLC,BELO CORP  -SER A COM,356080.0,Belo Corp.,1
31dec2002,2002,BENG,BENGUET CORP,11290.0,Benguet Corp,0
31mar2012,2011,BNHN,BENIHANA INC,935226.0,Benihana Inc,0
31dec2002,2002,3BHMSQ,BETHLEHEM STEEL CORP,11860.0,Bethlehem Steel Corp,1
31dec2004,2004,BEV.1,BEVERLY ENTERPRISES INC,1040441.0,Beverly Enterprises Inc,0
31dec2006,2006,NEGI,NATIONAL ENERGY GROUP,870756.0,National Energy Group,1
30jun2002,2002,BSKT.2,BIG SKY TRANSPORTATION,313522.0,Big Sky Transportation,0
31dec2012,2012,SVNTQ,SAVIENT PHARMACEUTICALS INC,722104.0,Savient Pharmaceuticals Inc,0
31dec2002,2002,BGEN,BIOGEN INC-OLD,714655.0,Biogen Inc,1
31may2014,2013,5938B,BIOMET INC,351346.0,Biomet Inc,1
30jun2010,2010,3BTEL,BIOTEL INC,1300128.0,Biotel Inc,0
31dec2011,2011,SPEX.2,SPHERIX INC  -OLD,1584361.0,Spherix Inc,0
28feb2005,2004,BLSC,BIO-LOGIC SYSTEMS CORP,355007.0,Bio-Logic Systems Corp,0
31dec2009,2009,3MFLU,MICROFLUIDICS INTL CORP,723889.0,Microfluidics International Corp,0
31dec2009,2009,BDK,BLACK & DECKER CORP,12355.0,Black & Decker Corp (The),0
31mar2003,2002,BBAN,BROADBAND WIRELESS INTL CORP,12388.0,Broadband Wireless International Corp,0
31dec2008,2008,LEXPQ,LEXINGTON PRECISION CORP,12570.0,Lexington Precision Corp,0
31dec2015,2015,BLT,BLOUNT INTL INC,1001606.0,Blount International Inc.,0
31dec2012,2012,OMX,OFFICEMAX INC,12978.0,OfficeMax Inc,1
30jun2014,2014,BOLT.1,BOLT TECHNOLOGY CORP,354655.0,Bolt Technology Corp,0
30nov2008,2008,CDIC,CARDIODYNAMICS INTL CORP,719722.0,CardioDynamics International Corp,0
31dec2011,2011,NST,NSTAR,1035675.0,NSTAR,1
31dec2002,2002,EFU3,BOSTON GAS CO,13390.0,Boston Gas Co,1
31dec2015,2015,REXMY,REXAM PLC,13522.0,Rexam PLC,1
31dec2010,2010,ENTP,ENTRPRIZE CORP,13547.0,Entrprize Corp,0
30sep2009,2009,WEDC,WHITE ELECTRONIC DESIGNS CP,13606.0,White Electronic Designs Corp,1
31dec2009,2009,BNE.1,BOWNE & CO INC,13610.0,Bowne & Co Inc,0
31dec2008,2008,BRER,BRESLER & REINER INC,14073.0,Bresler & Reiner Inc,0
30jun2009,2009,MSGI,MSGI SECURITY SOLUTIONS INC,14280.0,MSGI Security Solutions Inc,0
31dec2011,2011,BNSSA,BNS HOLDING CO,14637.0,BNS Holding Co,0
31dec2003,2003,TBI.,BROWN (TOM) INC,14803.0,Tom Brown Inc.,0
31dec2006,2006,WNMLA,WINMILL & CO INC  -CL A,52234.0,Winmill & Co Inc,0
31dec2003,2003,3BULV,BULOVA CORP,15310.0,Bulova Corp,1
31dec2007,2007,FRTN,FORTRAN CORP,15486.0,Fortran Corp,0
31jan2014,2013,0015B,BURLINGTON COAT FACTORY INVS,718916.0,Burlington Coat Factory Investments Holdings Inc,0
31may2016,2015,ELEK,ELEKTROS INC,1518487.0,Elektros Inc,0
30sep2002,2002,3BRLGQ,BURLINGTON INDUSTRIES INC,870213.0,Burlington Industries Inc,0
31dec2001,2001,EMEX,EMEX CORP,15678.0,Emex Corp,0
31dec2002,2002,BINDQ.1,BUSH INDUSTRIES  -CL A,758604.0,Bush Industries Inc.,0
31dec2003,2003,BBR.,BUTLER MFG CO,15840.0,Butler Manufacturing Co.,0
31dec2006,2006,RUNI,REUNION INDUSTRIES INC,1003429.0,Reunion Industries Inc,0
30jun2007,2007,CCBL,C-COR INC,350621.0,C-COR Inc,0
30sep2001,2001,CIT.1,CIT GROUP INC-OLD,20388.0,CIT Group Inc-Old,0
31jan2012,2011,CPICQ,CPI CORP,25354.0,CPI Corp.,1
31mar2006,2005,CPAK,CPAC INC,351717.0,CPAC Inc,0
31dec2009,2009,HTRN,HEALTHTRONICS INC,1018871.0,HealthTronics Inc,0
31dec2013,2013,CACH,CACHE INC,350199.0,Cache Inc,0
31dec2008,2008,CDSCY,CADBURY PLC,744473.0,Cadbury PLC,0
30jun2006,2006,CDMS,CADMUS COMMUNICATIONS CORP,745274.0,Cadmus Communications Corp,1
31mar2011,2010,CAGAQ,CAGLE'S INC  -CL A,16104.0,Cagle's Inc.,0
31dec2002,2002,SCIO.,SCIOS INC,726512.0,Scios Inc,0
31dec2007,2007,CAEN,CALIFORNIA ENGELS MINING CO,16317.0,California Engels Mining Co,0
31dec2002,2002,CLPO,CALPROP CORP,16496.0,Calprop Corp,0
31dec2006,2006,CBEX,CAMBEX CORP,16590.0,Cambex Corp,0
31dec2004,2004,PVN,PROVIDIAN FINANCIAL CORP,1035713.0,Providian Financial Corp,0
31dec2001,2001,HPPS,HEALTHY PLANET PRODUCTS INC,768260.0,Healthy Planet Products Inc.,0
31dec2010,2010,TAST1,CARROLS CORP,17927.0,Carrols Corp,0
31jan2013,2012,CASC.2,CASCADE CORP,18061.0,Cascade Corp,1
30sep2006,2006,CGC.2,CASCADE NATURAL GAS CORP,18072.0,Cascade Natural Gas Corp,0
31dec2012,2012,DOLE.1,DOLE FOOD CO INC,18169.0,Dole Food Co Inc,0
31dec2010,2010,ABAT,ADVANCED BATTERY TECH INC,745651.0,Advanced Battery Technologies Inc,0
31mar2009,2008,CTX.2,CENTEX CORP,18532.0,Centex Corp.,1
31dec2012,2012,CHG,CH ENERGY GROUP INC,1061393.0,CH Energy Group Inc.,0
31dec2009,2009,AES2,CENTRAL ILLINOIS LIGHT CO,18651.0,Central Illinois Light Co,1
31dec2015,2015,CNL,CLECO CORP,1089819.0,Cleco Corp,1
31dec2015,2015,AEP11,AEP TEXAS CENTRAL CO,18734.0,AEP Texas Central Co,1
31dec2011,2011,CV,CENTRAL VERMONT PUB SERV,18808.0,Central Vermont Public Service Corp,0
31dec2005,2005,CRLTS,CENTURY REALTY TRUST,18914.0,Century Realty Trust,0
31dec2004,2004,KRT.2,KRAMONT REALTY TRUST,1111205.0,Kramont Realty Trust,1
31dec2011,2011,CRDN,CERADYNE INC,18937.0,Ceradyne Inc,1
30jun2002,2002,CERB,CERBCO INC  -CL A,826821.0,Cerbco Inc,0
31dec2013,2013,CYDI,CYBRDI INC,19002.0,Cybrdi Inc,0
31mar2007,2006,CHADQ,CHAD THERAPEUTICS INC,713492.0,Chad Therapeutics Inc.,0
31dec2004,2004,TERA,TERAFORCE TECHNOLOGY CORP,316672.0,TeraForce Technology Corp,0
31dec2003,2003,CHLN.1,CHALONE WINE GROUP LTD,742685.0,Chalone Wine Group Ltd (The),0
31dec2008,2008,CJHBQ,CHAMPION ENTERPRISES INC,814068.0,Champion Enterprises Inc.,0
31dec2006,2006,CREB,CHAMPION PARTS INC,19161.0,Champion Parts Inc,0
31dec2005,2005,CHAR,CHAPARRAL RESOURCES INC,19252.0,Chaparral Resources Inc,0
31jan2012,2011,CHRS.1,CHARMING SHOPPES INC,19353.0,Charming Shoppes Inc,1
30nov2009,2009,CHTT,CHATTEM INC,19520.0,Chattem Inc,1
30sep2007,2007,DLPX,DELPHAX TECHNOLOGIES INC,350692.0,Delphax Technologies Inc,0
31dec2015,2015,CKP,CHECKPOINT SYSTEMS INC,215419.0,Checkpoint Systems Inc,0
31jan2005,2004,3CHEF,CHEFS INTERNATIONAL INC,201424.0,Chefs International Inc,0
31dec2003,2003,VZ4,VERIZON INC/MD,19722.0,Verizon Inc/MD,0
31dec2003,2003,VZ5,VERIZON INC/VA,19725.0,Verizon Inc/VA,0
31dec2001,2001,VZ6,VERIZON WASHINGTON INC/DC,,Verizon Washington Inc/DC,0
31dec2001,2001,VZ7,VERIZON INC/WV,,Verizon Inc/WV,0
31dec2008,2008,CSKEQ,CHESAPEAKE CORP,19731.0,Chesapeake Corp.,1
31dec2005,2005,CHIR.1,CHIRON CORP,706539.0,Chiron Corp,1
31dec2014,2014,CB.1,CHUBB CORP,20171.0,Chubb Corp,1
31mar2009,2008,1686B,CHURCH LOANS & INVTS TRUST,20199.0,Church Loans & Investments Trust,0
31dec2013,2013,CHYR,CHYRONHEGO CORP,20232.0,ChyronHego Corp,0
31dec2008,2008,AES1,CILCORP INC,762129.0,Cilcorp Inc,0
31dec2007,2007,MZIAQ,MILACRON INC,716823.0,Milacron Inc.,0
30sep2007,2007,CPCI,CIPRICO INC,720145.0,Ciprico Inc,0
29feb2008,2007,CCTYQ,CIRCUIT CITY STORES INC,104599.0,Circuit City Stores Inc,0
31dec2007,2007,CRLI,CIRCUIT RESEARCH LABS INC,725897.0,Circuit Research Labs Inc,0
31jan2005,2004,MBG.2,MANDALAY RESORT GROUP,725549.0,Mandalay Resort Group,1
31dec2004,2004,3614B,CITICORP,20405.0,Citicorp,1
31dec2012,2012,CRBC,CITIZENS REPUBLIC BANCORP,351077.0,Citizens Republic Bancorp Inc,0
31dec2013,2013,CYN.1,CITY NATIONAL CORP,201461.0,City National Corp,0
31jan2007,2006,CLE,CLAIRES STORES INC,34115.0,Claire's Stores Inc.,0
31dec2001,2001,3CLRY,CLARY CORP,20819.0,Clary Corp,0
30jun2002,2002,CMH,CLAYTON HOMES INC,719547.0,Clayton Homes Inc.,0
31dec2002,2002,3NTLOQ,NTELOS INC,829676.0,NTELOS Inc,0
31mar2010,2009,CLDA,CLINICAL DATA INC,716646.0,Clinical Data Inc,1
31dec2009,2009,COHM,ALL AMERICAN GROUP INC,21212.0,All American Group Inc,0
31dec2014,2014,CRV,COAST DISTRIBUTION SYSTEMS,728303.0,Coast Distribution System Inc.,0
31dec2004,2004,EP2,EL PASO CGP CO,21267.0,El Paso CGP Co,1
30jun2015,2015,FMYR,FAMILY ROOM ENTMT CORP,49444.0,Family Room Entertainment Corp,0
31dec2007,2007,THNKQ,THINKENGINE NETWORKS INC,21438.0,ThinkEngine Networks Inc,0
31jan2004,2003,CNJ,COLE NATIONAL CORP,769644.0,Cole National Corp,1
31dec2008,2008,OSCIQ,OSCIENT PHARMACEUTICALS CORP,356830.0,Oscient Pharmaceuticals Corp,0
31oct2004,2004,CNSI.1,COLLINS INDUSTRIES INC,21759.0,Collins Industries Inc,0
31dec2004,2004,NI2,COLUMBIA ENERGY GROUP,22099.0,Columbia Energy Group,1
31dec2010,2010,AEP8,COLUMBUS SOUTHERN POWER CORP,22198.0,Columbus Southern Power Corp,0
31jan2014,2013,CMRO,COMARCO INC,22252.0,COMARCO Inc,0
31dec2001,2001,MCCI,MARKETING CONCEPTS INTERNATI,1096936.0,Marketing Concepts International,0
31dec2004,2004,CMDZQ,COMDIAL CORP,230131.0,Comdial Corp,0
30sep2005,2005,CDCO,COMDISCO HOLDING CO INC,1179484.0,Comdisco Holding Co Inc,0
31dec2006,2006,CTCO.,COMMONWLTH TELE ENTER,310433.0,Commonwealth Telephone Enterprises Inc,0
31dec2014,2014,CTIG,CTI GROUP HOLDINGS INC,355627.0,CTI Group Holdings Inc,0
31mar2004,2003,GSOF,GROUP 1 SOFTWARE INC,23055.0,Group 1 Software Inc,0
31dec2001,2001,CPQ.2,COMPAQ COMPUTER CORP,714154.0,Compaq Computer Corp,1
31dec2012,2012,CHCR,COMPREHENSIVE CARE CORP,22872.0,Comprehensive Care Corp,0
31dec2006,2006,CDCY,COMPUDYNE CORP,22912.0,CompuDyne Corp,0
31dec2004,2004,PURW,PURE WORLD INC,356446.0,Pure World Inc,0
31dec2005,2005,ATSN,ARTESYN TECHNOLOGIES INC,23071.0,Artesyn Technologies Inc.,0
31dec2001,2001,CPTLQ,CTC COMMUNICATIONS GROUP INC,1092319.0,CTC Communications Group Inc,0
31jan2002,2001,LLB,COMPUTRAC INC,720507.0,Computrac Inc,0
31dec2006,2006,CHZS,COMPUTER HORIZONS CORP,23019.0,Computer Horizons Corp.,0
30jun2002,2002,CSRE.,COMSHARE INC,201513.0,Comshare Inc,0
30jun2009,2009,CMTX,COMTEX NEWS NETWORK INC,352988.0,Comtex News Network Inc,0
31mar2002,2001,COMX,COMTREX SYSTEMS CORP,769525.0,Comtrex Systems Corp,0
31oct2001,2001,LAEN,LATSHAW ENTERPRISES INC,23236.0,Latshaw Enterprises Inc,0
31dec2002,2002,CE.2,CONCORD EFS INC,740112.0,Concord EFS Inc.,0
31dec2006,2006,CTCI,CT COMMUNICATIONS INC,23259.0,CT Communications Inc,0
31dec2001,2001,CENI.,CONESTOGA ENTERPRISES,,Conestoga Enterprises,0
31dec2011,2011,LGZ,LEGALZOOM.COM INC -REDH -OLD,,LegalZoom.com Inc - Old,0
31jul2012,2012,CNLG,CONOLOG CORP,23503.0,Conolog Corp,0
31dec2007,2007,TARRQ,TARRAGON CORP,1038217.0,Tarragon Corp,0
31dec2014,2014,CNW,CON-WAY INC,23675.0,Con-Way Inc,0
31dec2006,2006,D2,CONSOLIDATED NATURAL GAS CO,23738.0,Consolidated Natural Gas Co,1
31dec2011,2011,NVLD,NOVALED AG  -ADR -REDH,1543664.0,Novaled AG,0
31dec2008,2008,4622B,CERIDIAN CORP,1124887.0,Ceridian Corp,1
31dec2011,2011,CBE,COOPER INDUSTRIES PLC,1141982.0,Cooper Industries Plc,0
31dec2010,2010,ICMC.1,INTELLIGENT COMM ENTR -OLD,,Intelligent Communication Enterprise Corp-Old,0
31mar2012,2011,CSMO,COSMO COMMUNICATIONS CORP,718096.0,Cosmo Communications Corp,0
31dec2007,2007,CFC.3,COUNTRYWIDE FINANCIAL CORP,25191.0,Countrywide Financial Corp,1
30sep2014,2014,CRRC,COURIER CORP,25212.0,Courier Corp,1
31dec2001,2001,3CRMA,CRAMER INC,319497.0,Cramer Inc,0
31dec2008,2008,APYI,ASPYRA INC,712815.0,Aspyra Inc,0
31oct2011,2011,CRED.1,CREDO PETROLEUM CORP,277924.0,Credo Petroleum Corp,0
31dec2012,2012,ATX,COSTA INC   -CL A,25793.0,Costa Inc,0
30jun2001,2001,EESO,CUCOS INC,731724.0,Cucos Inc,0
30jun2002,2002,CMED.1,COLORADO MEDTECH INC,720013.0,Colorado Medtech Inc,0
31dec2014,2014,GTBP,GT BIOPHARMA INC,109657.0,GT Biopharma Inc,0
31aug2002,2002,DMIF,DMI FURNITURE INC,225261.0,DMI Furniture Inc,0
30sep2003,2003,STST.,SENSYTECH INC,,Sensytech Inc,0
31jan2002,2001,3DMCSQ,DAIRY MART CONVENIENCE STRS,721675.0,Dairy Mart Convenience Stores,0
30jun2004,2004,SMTI.1,SMTEK INTERNATIONAL INC,26987.0,SMTEK International Inc,0
31dec2004,2004,USTG,UNITED SYSTEMS TECHNOLOGY,350194.0,United Systems Technology,0
31dec2002,2002,INRG,INRANGE TECHNOLOGIES CORP,1114674.0,Inrange Technologies Corp,1
31dec2003,2003,DKEY,DATAKEY INC,704914.0,Datakey Inc,0
30nov2002,2002,MDEA,MEDIA 100 INC,713138.0,Media 100 Inc,0
31oct2002,2002,DMCP,DATAMETRICS CORP,27082.0,Datametrics Corp,0
31dec2003,2003,CTLE.,CATTLESALE CO,205239.0,CattleSale Co,0
30apr2016,2015,DRAM.1,DATARAM CORP - OLD,,Dataram Corp - old,0
30jun2008,2008,DSCP,DATASCOPE CORP,27096.0,Datascope Corp,0
31dec2005,2005,STIZ,SCIENTIFIC TECHNOLOGIES INC,708250.0,Scientific Technologies Inc,0
31dec2001,2001,DATM,DATUM INC,,Datum Inc,0
31dec2011,2011,DXR,DAXOR CORP,27367.0,Daxor Corp,0
31dec2013,2013,VIEWF,VIEWTRAN GROUP INC,1519380.0,Viewtran Group Inc,0
