datadate,year,tic,conm,cik,conml,matched
31dec2007,2007,MCOAQ,MONACO COACH CORP,910619.0,Monaco Coach Corp,1
31dec2006,2006,AHIZQ,ALLIED HOLDINGS INC,909950.0,Allied Holdings Inc.,0
31dec2003,2003,0409B,BROWN JORDAN INTL INC,931814.0,Brown Jordan International Inc.,0
31dec2003,2003,EBIO.1,EPOCH BIOSCIENCES INC,910057.0,Epoch Biosciences Inc,0
31mar2008,2007,CRRP,CORRPRO COMPANIES INC,907072.0,Corrpro Companies Inc.,0
30sep2001,2001,KESIQ,KENTUCKY ELECTRIC STEEL INC,910394.0,Kentucky Electric Steel Inc,0
31dec2006,2006,NRVHQ,NATIONAL R V HOLDINGS INC,910655.0,National R.V. Holdings Inc.,0
30jun2002,2002,AHNCQ,ATCHISON CASTING CORP,911115.0,Atchison Casting Corp,0
31dec2006,2006,CLBK.1,COMMERCIAL BANKSHARES INC,354562.0,Commercial Bankshares Inc,0
30sep2002,2002,FFSL,FIRST INDEPENDENCE CORP/DE,908486.0,First Independence Corp/DE,0
31dec2007,2007,MCTIQ,MICRO COMPONENT TECH,911149.0,Micro Component Tech,0
31dec2007,2007,ALDN,ALADDIN KNOWLEDGE SYSTEM LTD,911364.0,Aladdin Knowledge Systems Ltd,0
31dec2002,2002,KARE,KOALA CORP,913285.0,Koala Corp,0
31dec2015,2015,NVIC,N-VIRO INTERNATIONAL CORP,904896.0,N-Viro International Corp,0
31dec2001,2001,AQCR,AQUA CARE SYSTEMS INC,910566.0,Aqua Care Systems Inc,0
30sep2002,2002,FRDMQ,FRIEDMANS INC  -CL A,911004.0,Friedman's Inc.,0
31dec2012,2012,LNETQ,LODGENET INTERACTIVE CORP,911002.0,LodgeNet Interactive Corp,1
31dec2014,2014,OMG,OM GROUP INC,899723.0,OM Group Inc,1
31dec2005,2005,0095A,FOAMEX  -LP,890080.0,Foamex LP,0
31jan2004,2003,ULTEQ,ULTIMATE ELECTRONICS INC,911626.0,Ultimate Electronics Inc,0
31dec2002,2002,WIKSQ,WICKES INC,910620.0,Wickes Inc,1
31dec2001,2001,CROS.1,CROSSMANN COMMUNITIES INC,,Crossmann Communities Inc,0
31dec2014,2014,INSV,INSITE VISION INC,802724.0,InSite Vision Inc,0
30jun2001,2001,3IWRK,IWERKS ENTERTAINMENT INC,830404.0,iWerks Entertainment Inc,0
31dec2003,2003,3DAVLE,DAVEL COMMUNICATIONS INC,1072881.0,Davel Communications Inc,0
31dec2012,2012,SDI,STANDARD DIVERSIFIED INC,911649.0,Standard Diversified Inc,0
31dec2011,2011,TGIC,TRIAD GUARANTY INC,911631.0,Triad Guaranty Inc,1
31dec2007,2007,BOPT,ECO-TRADE CORP,905428.0,Eco-Trade Corp,0
31dec2007,2007,ISOOQ,ISCO INTERNATIONAL INC,888693.0,ISCO International Inc.,0
30jun2003,2003,AGAM.1,ACRES GAMING INC,912601.0,Acres Gaming Inc,0
31dec2003,2003,CPG.3,CHELSEA PROPERTY GROUP INC,911215.0,Chelsea Property Group Inc.,0
31dec2002,2002,3JPEIE,JPE INC,884637.0,JPE Inc,0
31mar2009,2008,MTMC,MTM TECHNOLOGIES INC,906282.0,MTM Technologies Inc,0
31dec2005,2005,ORCI,OPINION RESEARCH CORP,911673.0,Opinion Research Corp,1
31dec2001,2001,MADGQ,MADGE NETWORKS NV,1002210.0,Madge Networks NV,0
31dec2001,2001,3BUCK,BUCKHEAD AMERICA CORP,909725.0,Buckhead America Corp,0
31oct2007,2007,CMOS,CREDENCE SYSTEMS CORP,893162.0,Credence Systems Corp,1
30jun2015,2015,PTN,PALATIN TECHNOLOGIES INC,911216.0,Palatin Technologies Inc.,0
31dec2003,2003,PNG.1,PENN-AMERICA GROUP INC,910110.0,Penn-America Group Inc.,0
31dec2005,2005,MERQ,MERCURY INTERACTIVE CORP,867058.0,Mercury Interactive Corp,1
31dec2015,2015,PRE,PARTNERRE LTD,911421.0,PartnerRe Ltd,1
31dec2002,2002,PEX.1,PETROCORP INC,911359.0,PetroCorp Inc,0
31dec2005,2005,JILL.1,J JILL GROUP INC,910721.0,J Jill Group Inc (The),0
31mar2005,2004,LUCY,LUCILLE FARMS INC,908179.0,Lucille Farms Inc,0
31dec2009,2009,FSNMQ,FIRST STATE BANCORPORATION,897861.0,First State Bancorporation Inc,0
31dec2003,2003,KTR,KEYSTONE PROPERTY TRUST,906113.0,Keystone Property Trust,0
30sep2007,2007,CMSF.1,CMSF CORP  -OLD,,CMSF Corp  -Old,0
31dec2012,2012,ASCA,AMERISTAR CASINOS INC,912145.0,Ameristar Casinos Inc,0
31dec2004,2004,VTAIQ,VESTA INSURANCE GROUP INC,911576.0,Vesta Insurance Group Inc.,0
31dec2014,2014,AEC,ASSOCIATED ESTATES RLTY CORP,911635.0,Associated Estates Realty Corp,0
31dec2013,2013,NSTM,NOVELSTEM INTERNATIONAL CORP,912544.0,NovelStem International Corp,0
31dec2001,2001,ESNJ,ESENJAY EXPLORATION INC,901611.0,Esenjay Exploration Inc,0
31dec2008,2008,TAR,TELEFONICA DE ARGENTINA SA,914242.0,Telefonica De Argentina SA,0
31mar2011,2010,YYIN,YAYI INTERNATIONAL INC,789860.0,Yayi International Inc,0
31dec2002,2002,CPJ,CHATEAU COMMUNITIES INC,912393.0,Chateau Communities Inc.,0
31dec2015,2015,HMU,HOMEUNION HOLDINGS INC -REDH,1639241.0,HomeUnion Holdings Inc,0
31dec2007,2007,PGICQ,PROGRESSIVE GAMING INTL CORP,912241.0,Progressive Gaming International Corp,0
31dec2002,2002,APBL,ATLANTIC PREMIUM BRANDS LTD,912609.0,Atlantic Premium Brands Ltd.,0
31jan2012,2011,TLB,TALBOTS INC,912263.0,Talbots Inc. (The),0
31dec2015,2015,OPTV,OPTIV INC -REDH,1637666.0,Optiv Inc,0
31dec2013,2013,ATMI.1,ATMI INC,1041577.0,ATMI Inc,0
31oct2010,2010,MATK,MARTEK BIOSCIENCES CORP,892025.0,Martek Biosciences Corp,1
31dec2013,2013,IDEA,INVENT VENTURES INC,912844.0,Invent Ventures Inc,0
30jun2005,2005,BEAR,VERMONT TEDDY BEAR INC,912960.0,Vermont Teddy Bear Co. Inc (The),0
31jul2003,2003,CDT.1,CABLE DESIGN TECH CP  -CL A,,Cable Design Technologies Corp.,0
31dec2014,2014,FRO.2,FRONTLINE LTD-OLD,,Frontline Ltd-Old,0
30apr2014,2013,ESYS,ELECSYS CORP,914398.0,Elecsys Corp,0
31dec2011,2011,HGSI,HUMAN GENOME SCIENCES INC,901219.0,Human Genome Sciences Inc,0
31dec2005,2005,CNT,CENTERPOINT PROPERTIES TRUST,912893.0,Centerpoint Properties Trust,0
31dec2001,2001,DAWKQ,DAW TECHNOLOGIES INC,882159.0,Daw Technologies Inc,0
31dec2014,2014,POSC,POSITRON CORP,844985.0,Positron Corp,0
30jun2003,2003,3USWI,US WIRELESS DATA INC,,US Wireless Data Inc,0
31aug2005,2005,ATYT,ATI TECHNOLOGIES INC,1065331.0,ATI Technologies Inc,1
31mar2005,2004,ALMC,ALIMCO FINANCIAL CORP,913293.0,Alimco Financial Corp,0
31dec2014,2014,RGC1,UTD ARTISTS THEATRE CIRCUIT,889570.0,United Artists Theatre Circuit Inc,0
30nov2006,2006,CLHI,CLST HOLDINGS INC,913590.0,CLST Holdings Inc,0
31dec2002,2002,FNIS,FIDELITY NATL INFO SOLTNS,888793.0,Fidelity National Information Solutions Inc,0
31dec2004,2004,FFDB,FIRSTFED BANCORP INC,876947.0,FirstFed Bancorp Inc,0
31dec2007,2007,FMXLQ,FOAMEX INTERNATIONAL INC,912908.0,Foamex International Inc,0
31dec2008,2008,PSTA,MONTEREY GOURMET FOODS INC,913032.0,Monterey Gourmet Foods Inc,0
31dec2011,2011,GCSAY,GRUPO CASA SABA SA DE CV,906779.0,"Grupo Casa SAba SA De CV, Mexico",0
31dec2010,2010,SYMBA,SYMBOLLON PHARMA INC  -CL A,912086.0,Symbollon Pharmaceuticals Inc,0
31dec2006,2006,GTW,GATEWAY INC,895812.0,Gateway Inc.,0
31dec2009,2009,GLLC,GRILL CONCEPTS INC,895041.0,Grill Concepts Inc,0
31aug2012,2012,SHAW,SHAW GROUP INC,914024.0,Shaw Group Inc. (The),1
31dec2004,2004,VRTS.1,VERITAS SOFTWARE CORP,1084408.0,VERITAS Software Co,1
31dec2002,2002,3AVVP,AVIVA PETE INC  -DEP,910659.0,Aviva Petroleum Inc,0
