,Unnamed: 0,Source,Date,Program Name,Time,Duration,Has Transcript,Transcript,Unavailable link,Unavailable reason,video_link
0,90,BBC1 London,24-jun-2017,BBC News,01:00,300 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0F1AA0C4?bcast=125077370,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0F1AA0C4-BBC-News-2017-06-24T000000Z-BBC1-London.mp4/index.m3u8
1,162,BBC1 London,20-jun-2017,BBC News,00:25,335 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0F1A9F99?bcast=125052891,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0F1A9F99-BBC-News-2017-06-20T232500Z-BBC1-London.mp4/index.m3u8
2,169,BBC1 London,23-jun-2017,BBC News,00:35,325 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0F1AA078?bcast=125072503,Program has no transcript button.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0F1AA078-BBC-News-2017-06-23T233500Z-BBC1-London.mp4/index.m3u8
3,176,BBC1 London,21-jun-2017,BBC News,00:55,305 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0F1A9FE4?bcast=125058115,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0F1A9FE4-BBC-News-2017-06-21T235500Z-BBC1-London.mp4/index.m3u8
4,190,BBC News 24,14-jun-2017,BBC News Special,09:00,240 mins,False,,https://learningonscreen.ac.uk/ondemand/index.php/prog/0F11C7B7?bcast=124418145,Program has an empty transcript field.,https://stream.learningonscreen.ac.uk/trilt-broadcasts/hls/0F11C7B7-BBC-News-Special-2017-06-14T080000Z-BBC-News-24.mp4/index.m3u8
